hero	book
CAPTAIN AMERICA	A 346
SUPREME INTELLIGENCE	A 346
BLACK KNIGHT V/DANE 	A 347
HAWK	A 347
THUNDERSTRIKE/ERIC K	A 347
MINERVA [KREE]	A 347
KORATH THE PURSUER	A 347
ULTIMUS	A 347
CAPTAIN MARVEL II/MO	A 347
STARFOX/EROS	A 347
SERSI/SYLVIA	A 347
SCARLET WITCH/WANDA 	A 347
SUPREME INTELLIGENCE	A 347
DEATHBIRD [SHI'AR]	A 347
SHATTERAX	A 347
HERCULES [GREEK GOD]	A 347
LIVING LIGHTNING/MIG	A 347
LILANDRA NERAMANI [S	A 347
VISION 	A 347
WONDER MAN/SIMON WIL	A 347
CRYSTAL [INHUMAN]	A 347
IRON MAN/TONY STARK 	A 347
CAPTAIN AMERICA	A 347
ATLAS	A 347
ATOM SMASHER/	M/TIO 54
THUNDRA	M/TIO 54
POUNDCAKES/MARIAN PO	M/TIO 54
TITANIA/	M/TIO 54
THING/BENJAMIN J. GR	M/TIO 54
SCREAMING MIMI/MELIS	M/TIO 54
NUKLO/ROBERT FRANK J	M/TIO 54
QUASAR III/WENDELL V	M/TIO 54
DEATHLOK/COLONEL LUT	M/TIO 54
LETHA	M/TIO 54
BLACK GOLIATH/DR. WI	M/TIO 54
IRON MAN IV/JAMES R.	IM 287
SONDHEIM, ERICA	IM 287
PEARSON, MARCY	IM 287
IRON MAN/TONY STARK 	IM 287
ZIMMER, ABE	IM 287
STARK, MORGAN	IM 287
ATOM SMASHER II/	IM 287
LACOSTE, RAE	IM 287
KRUMA, TALIA	BG 2
ATOM-SMASHER/	BG 2
BELL, HERBERT	BG 2
WEST, DALE	BG 2
BLACK GOLIATH/DR. WI	BG 2
WARHAWK II	BG 2
ATOM-SMASHER/	BG 3
IRON MAN/TONY STARK 	BG 3
BLACK GOLIATH/DR. WI	BG 3
WARHAWK II	BG 3
THING/BENJAMIN J. GR	FF 33
HUMAN TORCH/JOHNNY S	FF 33
DORMA [ATLANTEAN]	FF 33
INVISIBLE WOMAN/SUE 	FF 33
MR. FANTASTIC/REED R	FF 33
ATTUMA	FF 33
SUB-MARINER/NAMOR MA	FF 33
ATTUMA	TOS 66
BYRD, SEN. HARRINGTO	TOS 66
IRON MAN/TONY STARK 	TOS 66
HOGAN, HAROLD J. HAP	TOS 66
HOGAN, VIRGINIA PEPP	TOS 66
SCARLET WITCH/WANDA 	A 27
BEETLE/ABNER RONALD 	A 27
CAPTAIN AMERICA	A 27
QUICKSILVER/PIETRO M	A 27
ATTUMA	A 27
HAWK	A 27
VASHTI	TTA 88
DORMA [ATLANTEAN]	TTA 88
ATTUMA	TTA 88
SUB-MARINER/NAMOR MA	TTA 88
SUB-MARINER/NAMOR MA	TTA 89
ATTUMA	TTA 89
VASHTI	TTA 89
DORMA [ATLANTEAN]	TTA 89
BYRRAH [ATLANTEAN]	TTA 91
KRANG [ATLANTEAN]	TTA 91
VASHTI	TTA 91
SUB-MARINER/NAMOR MA	TTA 91
ATTUMA	TTA 91
DORMA [ATLANTEAN]	TTA 91
DORMA [ATLANTEAN]	SUB-M 4
VASHTI	SUB-M 4
SUB-MARINER/NAMOR MA	SUB-M 4
ATTUMA	SUB-M 4
SETH	SUB-M 4
DORMA [ATLANTEAN]	SUB-M 31
STINGRAY/DR. WALTER 	SUB-M 31
SUB-MARINER/NAMOR MA	SUB-M 31
NEWELL, DIANE ARLISS	SUB-M 31
THING/BENJAMIN J. GR	SUB-M 31
VASHTI	SUB-M 31
ATTUMA	SUB-M 31
IKTHON	SUB-M 31
TRITON	SUB-M 31
NEWELL, DIANE ARLISS	SUB-M 36
SUB-MARINER/NAMOR MA	SUB-M 36
DORMA [ATLANTEAN]	SUB-M 36
ATTUMA	SUB-M 36
LLYRA/LLYRA MORRIS	SUB-M 36
TRITON	SUB-M 36
DORMA [ATLANTEAN]	SUB-M 37
ATTUMA	SUB-M 37
LLYRA/LLYRA MORRIS	SUB-M 37
VASHTI	SUB-M 37
SUB-MARINER/NAMOR MA	SUB-M 37
IKTHON	SUB-M 37
NORRISS, SISTER BARB	DEF 8
CLEA	DEF 8
PEATOR	DEF 8
SILVER SURFER/NORRIN	DEF 8
RED GHOST/IVAN KRAGO	DEF 8
MIKHLO	DEF 8
BLACK KNIGHT V/DANE 	DEF 8
HAWK	DEF 8
BLACK KNIGHT V STATU	DEF 8
HULK/DR. ROBERT BRUC	DEF 8
ATTUMA	DEF 8
IGOR	DEF 8
SUB-MARINER/NAMOR MA	DEF 8
DR. STRANGE/STEPHEN 	DEF 8
TIGER SHARK/TODD ARL	SVTU 1
DR. DOOM/VICTOR VON 	SVTU 1
SUB-MARINER/NAMOR MA	SVTU 1
JENNINGS, JOSEPH	SVTU 1
ATTUMA	SVTU 1
DORCAS, LEMUEL DR.	SVTU 1
ATTUMA	SVTU 2
DORCAS, LEMUEL DR.	SVTU 2
PRENTISS, BETTY DEAN	SVTU 2
DR. DOOM/VICTOR VON 	SVTU 2
JENNINGS, JOSEPH	SVTU 2
TIGER SHARK/TODD ARL	SVTU 2
LOCKJAW [INHUMAN]	SVTU 2
SUB-MARINER/NAMOR MA	SVTU 2
THING/BENJAMIN J. GR	SVTU 2
JENNINGS, JOSEPH	SVTU 3
DORCAS, LEMUEL DR.	SVTU 3
RAHN, TAMARA	SVTU 3
SUB-MARINER/NAMOR MA	SVTU 3
ATTUMA	SVTU 3
DR. DOOM/VICTOR VON 	SVTU 3
TIGER SHARK/TODD ARL	SVTU 3
CAPTAIN AMERICA	SVTU 10
SUB-MARINER/NAMOR MA	SVTU 10
DR. DOOM/VICTOR VON 	SVTU 10
RED SKULL/JOHANN SCH	SVTU 10
SHROUD/MAXIMILLIAN Q	SVTU 10
ATTUMA	SVTU 10
RUDOLFO, PRINCE	SVTU 10
ATTUMA	BIZ ADV 27
SNOWBIRD/NARYA/ANNE 	AF 36
ATTUMA	AF 36
AURORA/JEANNE-MARIE 	AF 36
NORTHSTAR/JEAN-PAUL 	AF 36
SUB-MARINER/NAMOR MA	AF 36
HUDSON, HEATHER	AF 36
VASHTI	AF 36
HERCULES [GREEK GOD]	AF 36
PESTILENCE/CAPT. F.R	AF 36
BLACK KNIGHT V/DANE 	AF 36
THAKOS	AF 36
BOX/ROGER BOCHS	AF 36
BOX IV/MADISON JEFFR	AF 36
DR. STRANGE/STEPHEN 	AF 36
SHAMAN/MICHAEL TWOYO	AF 36
PUCK/EUGENE MILTON J	AF 36
MARRINA/MARRINA SMAL	AF 36
BYRRAH [ATLANTEAN]	AF 36
MAGNETO/MAGNUS/ERIC 	AF 33
AURORA/JEANNE-MARIE 	AF 33
ROGUE /	AF 33
LADY DEATHSTRIKE/YUR	AF 33
HUDSON, HEATHER	AF 33
MARRINA/MARRINA SMAL	AF 33
ATTUMA	AF 33
STORM/ORORO MUNROE S	AF 33
BOX IV/MADISON JEFFR	AF 33
SNOWBIRD/NARYA/ANNE 	AF 33
COLOSSUS II/PETER RA	AF 33
GUARDIAN/JAMES MACDO	AF 33
WOLVERINE/LOGAN 	AF 33
SHADOWCAT/KATHERINE 	AF 33
NORTHSTAR/JEAN-PAUL 	AF 33
PHOENIX III/RACHEL S	AF 33
BOX/ROGER BOCHS	AF 33
PUCK/EUGENE MILTON J	AF 33
MARRINA/MARRINA SMAL	AF 34
HUDSON, HEATHER	AF 34
ATTUMA	AF 34
BOX/ROGER BOCHS	AF 34
LADY DEATHSTRIKE/YUR	AF 34
AURORA/JEANNE-MARIE 	AF 34
SHAMAN/MICHAEL TWOYO	AF 34
PUCK/EUGENE MILTON J	AF 34
NORTHSTAR/JEAN-PAUL 	AF 34
WOLVERINE/LOGAN 	AF 34
GUARDIAN/JAMES MACDO	AF 34
SNOWBIRD/NARYA/ANNE 	AF 34
BOX IV/MADISON JEFFR	AF 34
AURORA/JEANNE-MARIE 	AF 35
PUCK/EUGENE MILTON J	AF 35
TALISMAN II/ELIZABET	AF 35
NORTHSTAR/JEAN-PAUL 	AF 35
SNOWBIRD/NARYA/ANNE 	AF 35
VASHTI	AF 35
SHAMAN/MICHAEL TWOYO	AF 35
MARRINA/MARRINA SMAL	AF 35
ATTUMA	AF 35
HUDSON, HEATHER	AF 35
BOX/ROGER BOCHS	AF 35
BOX IV/MADISON JEFFR	AF 35
THAKOS	AF 35
HUDSON, HEATHER	AF 37
AURORA/JEANNE-MARIE 	AF 37
SUB-MARINER/NAMOR MA	AF 37
ATTUMA	AF 37
BOX/ROGER BOCHS	AF 37
NORTHSTAR/JEAN-PAUL 	AF 37
SHAMAN/MICHAEL TWOYO	AF 37
MARRINA/MARRINA SMAL	AF 37
PUCK/EUGENE MILTON J	AF 37
PESTILENCE/CAPT. F.R	AF 37
BYRRAH [ATLANTEAN]	AF 37
SNOWBIRD/NARYA/ANNE 	AF 37
AURORA/JEANNE-MARIE 	AF 38
NORTHSTAR/JEAN-PAUL 	AF 38
MARRINA/MARRINA SMAL	AF 38
PUCK/EUGENE MILTON J	AF 38
SHAMAN/MICHAEL TWOYO	AF 38
SUB-MARINER/NAMOR MA	AF 38
TALISMAN II/ELIZABET	AF 38
BYRRAH [ATLANTEAN]	AF 38
PESTILENCE/CAPT. F.R	AF 38
BOX/ROGER BOCHS	AF 38
SNOWBIRD/NARYA/ANNE 	AF 38
HUDSON, HEATHER	AF 38
ATTUMA	AF 38
WASP/JANET VAN DYNE 	A 272
SNOWBIRD/NARYA/ANNE 	A 272
MARRINA/MARRINA SMAL	A 272
HUDSON, HEATHER	A 272
BOX/ROGER BOCHS	A 272
SUB-MARINER/NAMOR MA	A 272
NORTHSTAR/JEAN-PAUL 	A 272
ATTUMA	A 272
PUCK/EUGENE MILTON J	A 272
BYRRAH [ATLANTEAN]	A 272
BLACK KNIGHT V/DANE 	A 272
SHAMAN/MICHAEL TWOYO	A 272
HERCULES [GREEK GOD]	A 272
AURORA/JEANNE-MARIE 	A 272
CAPTAIN MARVEL II/MO	A 272
CAPTAIN AMERICA	A 272
HUDSON, HEATHER	AF 39
PUCK/EUGENE MILTON J	AF 39
CODY, GARY	AF 39
BOX/ROGER BOCHS	AF 39
SUB-MARINER/NAMOR MA	AF 39
NORTHSTAR/JEAN-PAUL 	AF 39
SNOWBIRD/NARYA/ANNE 	AF 39
AURORA/JEANNE-MARIE 	AF 39
MARRINA/MARRINA SMAL	AF 39
ATTUMA	AF 39
TALISMAN II/ELIZABET	AF 39
BOX IV/MADISON JEFFR	AF 39
SHAMAN/MICHAEL TWOYO	AF 39
BYRRAH [ATLANTEAN]	AF 39
HIGH EVOLUTIONARY/HE	A@ 17
CAPTAIN AMERICA	A@ 17
KRO [DEVIANT]	A@ 17
YELLOWJACKET II/RITA	A@ 17
FALCON/SAM WILSON	A@ 17
BEAST/HENRY &HANK& P	A@ 17
HULK/DR. ROBERT BRUC	A@ 17
HERCULES [GREEK GOD]	A@ 17
JOCASTA	A@ 17
ATTUMA	A@ 17
MS. MARVEL II/SHARON	WOSM@ 5
HUMAN TORCH/JOHNNY S	WOSM@ 5
PARKER, MAY	WOSM@ 5
LLYRA/LLYRA MORRIS	WOSM@ 5
ATTUMA	WOSM@ 5
INVISIBLE WOMAN/SUE 	WOSM@ 5
MR. FANTASTIC/REED R	WOSM@ 5
GHAUR [DEVIANT]	WOSM@ 5
SUB-MARINER/NAMOR MA	WOSM@ 5
SPIDER-MAN/PETER PAR	WOSM@ 5
THING/BENJAMIN J. GR	WOSM@ 5
WATSON-PARKER, MARY 	WOSM@ 5
STINGRAY/DR. WALTER 	N@ 1
VASHTI	N@ 1
JARVIS, EDWIN 	N@ 1
CARTER, PEGGY	N@ 1
SUB-MARINER/NAMOR MA	N@ 1
ATTUMA	N@ 1
ATTUMA	H '98
HULK/DR. ROBERT BRUC	H '98
SETH	H '98
AZOR	H '98
SUB-MARINER/NAMOR MA	H '98
VASHTI	H '98
TOPSPIN/DARREN MITCH	CV 2
ATTUMA	CV 2
CITIZEN V II/HELMUT 	CV 2
STERMAN, ANDREA ANDI	CV 2
SUB-MARINER/NAMOR MA	CV 2
SILVER SCORPION/ELIS	CV 2
STRUCKER, ANDREAS	CV 2
MODOK/GEORGE TARLETO	CV 2
GOLDFIRE/AMEIKO SABU	CV 2
DYNA-MITE/ROGER AUBR	CV 2
BUCKY II/FRED DAVIS	CV 2
NUKLO/ROBERT FRANK J	CV 2
MARTINEZ, ISADORA	CV 2
IRON CROSS/HELMUT GR	CV 2
STRUCKER, ANDREA	CV 2
SCARLET CENTURION	A3 42
WASP/JANET VAN DYNE 	A3 42
VANGUARD/NICOLAI KRY	A3 42
DARKSTAR/LAYNIA SERG	A3 42
CAPTAIN AMERICA	A3 42
THOR/DR. DONALD BLAK	A3 42
YELLOWJACKET III/HEN	A3 42
RED GUARDIAN V	A3 42
PHARAOH RAMA-TUT	A3 42
SERGEI	A3 42
BINARY/CAROL DANVERS	A3 42
IRON MAN/TONY STARK 	A3 42
BLACK KNIGHT V/DANE 	A3 42
TRIATHLON/DELROY GAR	A3 42
FIREBIRD/BONITA JUAR	A3 42
VISION 	A3 42
ATTUMA	A3 42
QUICKSILVER/PIETRO M	A3 42
FIREBIRD/BONITA JUAR	A3 43
JACK OF HEARTS/JACK 	A3 43
BLACK KNIGHT V/DANE 	A3 43
TORG	A3 43
BINARY/CAROL DANVERS	A3 43
VANGUARD/NICOLAI KRY	A3 43
VISION 	A3 43
ATTUMA	A3 43
WASP/JANET VAN DYNE 	A3 43
SHE-HULK/JENNIFER WA	A3 43
SERGEI	A3 43
SERESTUS	A3 43
PHARAOH RAMA-TUT	A3 43
STINGRAY/DR. WALTER 	A3 43
SCARLET WITCH/WANDA 	A3 43
RED GUARDIAN III/DR.	A3 43
RED GUARDIAN V	A3 43
QUICKSILVER/PIETRO M	A3 43
THING/BENJAMIN J. GR	A3 43
THOR/DR. DONALD BLAK	A3 43
SCARLET CENTURION	A3 43
WIZARD/BENTLEY WITTM	A3 43
CAPTAIN AMERICA	A3 43
YELLOWJACKET III/HEN	A3 43
BLACK WIDOW/NATASHA 	A3 43
SILVERCLAW/LA GARRA 	A3 43
TRIATHLON/DELROY GAR	A3 43
BLACK PANTHER/T'CHAL	A3 43
SUB-MARINER/NAMOR MA	DEF2 5
ATTUMA	DEF2 5
NIGHTHAWK II/KYLE RI	DEF2 5
HULK/DR. ROBERT BRUC	DEF2 5
NAMORITA/NITA PRENTI	DEF2 5
NAGAN, DR. ARTHUR	DEF2 5
BI-BEAST II	DEF2 5
MORGAN, JERROLD JERR	DEF2 5
SILVER SURFER/NORRIN	DEF2 5
MASTERS, ALICIA REIS	DEF2 5
DR. STRANGE/STEPHEN 	DEF2 5
DOC SAMSON/DR. LEONA	DEF2 5
CHONDU	DEF2 5
VALKYRIE IV	DEF2 5
RUBY	DEF2 5
HELLCAT/PATSY WALKER	DEF2 5
HELL-EYES	DEF2 7
VALKYRIE IV	DEF2 7
ATTUMA	DEF2 7
WAYFINDER	DEF2 7
NAGALA	DEF2 7
TIGER SHARK/TODD ARL	DEF2 7
PIRANHA	DEF2 7
DR. STRANGE/STEPHEN 	DEF2 7
SUB-MARINER/NAMOR MA	DEF2 7
ORKA	DEF2 7
SEA URCHIN/JEREMY SW	DEF2 7
HELLCAT/PATSY WALKER	DEF2 7
HULK/DR. ROBERT BRUC	DEF2 7
NIGHTHAWK II/KYLE RI	DEF2 7
MASTER KHAN/TYRONE K	M/PRM 22
LEI KUNG, THE THUNDE	M/PRM 22
IRON FIST/DANIEL RAN	M/PRM 22
NINJA/	M/PRM 22
WING, PROFESSOR	M/PRM 22
WING, COLLEEN	M/PRM 22
AUGUST PERSONAGE IN 	M/PRM 22
IRON FIST/DANIEL RAN	M/PRM 16
LEI KUNG, THE THUNDE	M/PRM 16
AUGUST PERSONAGE IN 	M/PRM 16
MEACHUM, JOY	M/PRM 18
MEACHUM, HAROLD	M/PRM 18
IRON FIST/DANIEL RAN	M/PRM 18
NINJA/	M/PRM 18
LEI KUNG, THE THUNDE	M/PRM 18
AUGUST PERSONAGE IN 	M/PRM 18
LANCELOT, SIR	DHKF 21
AUGUST PERSONAGE IN 	DHKF 21
IRON FIST/DANIEL RAN	DHKF 21
RAND, HEATHER DUNCAN	M/PRM 15
IRON FIST/DANIEL RAN	M/PRM 15
AUGUST PERSONAGE IN 	M/PRM 15
MEACHUM, HAROLD	M/PRM 15
IRON FIST/DANIEL RAN	DHKF 10
AUGUST PERSONAGE IN 	DHKF 10
WING, PROFESSOR	DHKF 10
STEEL SERPENT	DHKF 10
SPIDER-MAN/PETER PAR	M/TU 64
IRON FIST/DANIEL RAN	M/TU 64
KNIGHT, MISTY	M/TU 64
LEI KUNG, THE THUNDE	M/TU 64
WING, COLLEEN	M/TU 64
AUGUST PERSONAGE IN 	M/TU 64
WING, COLLEEN	PM&IF 74
MASTER KHAN/TYRONE K	PM&IF 74
DIAMOND, BOB	PM&IF 74
SUN, LIN	PM&IF 74
NINJA/	PM&IF 74
LEI KUNG, THE THUNDE	PM&IF 74
AUGUST PERSONAGE IN 	PM&IF 74
CAGE, LUKE/CARL LUCA	PM&IF 74
SHINCHUKO, LOTUS	PM&IF 74
IRON FIST/DANIEL RAN	PM&IF 74
BROWN, ABE	PM&IF 74
KNIGHT, MISTY	PM&IF 74
MASTER KHAN/TYRONE K	PM&IF 75
AUGUST PERSONAGE IN 	PM&IF 75
CAGE, LUKE/CARL LUCA	PM&IF 75
NINJA/	PM&IF 75
IRON FIST/DANIEL RAN	PM&IF 75
LEI KUNG, THE THUNDE	PM&IF 75
MASTER KHAN/TYRONE K	PM&IF 119
IRON FIST/DANIEL RAN	PM&IF 119
AUGUST PERSONAGE IN 	PM&IF 119
CAGE, LUKE/CARL LUCA	PM&IF 119
MEACHUM, WARD	PM&IF 119
LEI KUNG, THE THUNDE	PM&IF 119
WING, COLLEEN	PM&IF 119
CLINTON, BILL	IFW 3
PSYLOCKE/ELISABETH B	IFW 3
SUNFIRE/SHIRO YOSHID	IFW 3
AUGUST PERSONAGE IN 	IFW 3
CAPTAIN AMERICA	IFW 3
WOLVERINE/LOGAN 	IFW 3
IRON MAN/TONY STARK 	IFW 3
MUTO, JUNZO	IFW 3
KNIGHT, MISTY	IFW 3
CAGE, LUKE/CARL LUCA	IFW 3
IRON FIST/DANIEL RAN	IFW 3
CARTER, SHARON	IFW 3
KNIGHT, MISTY	IFW 4
WOLVERINE/LOGAN 	IFW 4
CAPTAIN AMERICA	IFW 4
RAND, HEATHER DUNCAN	IFW 4
AUGUST PERSONAGE IN 	IFW 4
CAGE, LUKE/CARL LUCA	IFW 4
MUTO, JUNZO	IFW 4
SUNFIRE/SHIRO YOSHID	IFW 4
IRON FIST/DANIEL RAN	IFW 4
PSYLOCKE/ELISABETH B	IFW 4
IRON MAN/TONY STARK 	IFW 4
MS. MARVEL II/SHARON	TG 33
POUNDCAKES/MARIAN PO	TG 33
DEMOLITION MAN/DENNI	TG 33
SCREAMING MIMI/MELIS	TG 33
THING/BENJAMIN J. GR	TG 33
AUNTIE FREEZE/	TG 33
TITANIA/	TG 33
SCOURGE	TG 33
MALUS, DR. KARL	TG 35
JACKSON, CURTISS	TG 35
THING/BENJAMIN J. GR	TG 35
DEMOLITION MAN/DENNI	TG 35
MS. MARVEL II/SHARON	TG 35
AUNTIE FREEZE/	TG 35
KANNOR, ORLANDO	SSCARSPI 1
MASTER PROGRAMMER	SSCARSPI 1
OVERRIDE/DR. GREGORY	SSCARSPI 1
WADE, AGENT JOE	SSCARSPI 1
LOOTER/NORTON G. FES	SSCARSPI 1
SMYTHE, ALISTAIR ALP	SSCARSPI 1
TSO, JASON	SSCARSPI 1
TRAINER, DR. SEWARD	SSCARSPI 1
DR. OCTOPUS II/CAROL	SSCARSPI 1
SPIDER-MAN CLONE/BEN	SSCARSPI 1
AURA/ANN HERD	SSCARSPI 1
BRADLEY, CARRIE	SSCARSPI 1
SPIDER-MAN CLONE/BEN	WOSS 2
OVERRIDE/DR. GREGORY	WOSS 2
DR. OCTOPUS II/CAROL	WOSS 2
MARTINEZ, LINETTE	WOSS 2
TRAINER, DR. SEWARD	WOSS 2
TSO, JASON	WOSS 2
BRIGGS, AGENT STEPHA	WOSS 2
LOOTER/NORTON G. FES	WOSS 2
KANNOR, ORLANDO	WOSS 2
MASTER PROGRAMMER	WOSS 2
SMYTHE, ALISTAIR ALP	WOSS 2
AURA/ANN HERD	WOSS 2
WADE, AGENT JOE	WOSS 2
YIN, ANGELA	WOSS 2
ELLIS, KEN	WOSS 2
PROWLER/HOBIE BROWN	SENSM 25
GREEN GOBLIN/NORMAN 	SENSM 25
WATSON-PARKER, MARY 	SENSM 25
THOMPSON, EUGENE FLA	SENSM 25
AURA/ANN HERD	SENSM 25
GREEN GOBLIN V/	SENSM 25
WALTERS, BILLY	SENSM 25
OVERRIDE/DR. GREGORY	SENSM 25
OSBORN, NORMIE	SENSM 25
OSBORN, LIZ ALLAN	SENSM 25
LEEDS, BETTY BRANT	SENSM 25
ROBERTSON, MARTHA	SENSM 25
ROBERTSON, JOE	SENSM 25
SPIDER-MAN/PETER PAR	SENSM 25
JAMESON, J. JONAH	SENSM 25
GREEN GOBLIN/NORMAN 	PPTSS 255
STACY, PAUL	PPTSS 255
STACY, JILL	PPTSS 255
WATSON-PARKER, MARY 	PPTSS 255
OVERRIDE/DR. GREGORY	PPTSS 255
SPIDER-MAN/PETER PAR	PPTSS 255
OSBORN, NORMIE	PPTSS 255
GREEN GOBLIN V/	PPTSS 255
OSBORN, LIZ ALLAN	PPTSS 255
SHOTGUN III/	PPTSS 255
URICH, BEN	PPTSS 255
PUNISHER II/FRANK CA	PPTSS 255
WATSON, ANNA	PPTSS 255
PROFESSOR ANGST/DR. 	PPTSS 255
LEEDS, BETTY BRANT	PPTSS 255
STACY, ARTHUR	PPTSS 255
THOMPSON, EUGENE FLA	PPTSS 255
JAMESON, J. JONAH	PPTSS 255
AURA/ANN HERD	PPTSS 255
FIELDING, CLARENCE	PPTSS 255
FORTUNATO, GIACOMO J	PPTSS 255
ROSE IV/JACOB JAKE C	PPTSS 255
AURA/ANN HERD	SENSM 33
SPIDER-MAN/PETER PAR	SENSM 33
OVERRIDE/DR. GREGORY	SENSM 33
GREEN GOBLIN/NORMAN 	SENSM 33
WATSON-PARKER, MARY 	SENSM 33
TWAKI, DR. TED	ASM2 3
MAXWELL, MORRIS	ASM2 3
CALDRONE, JAVIER	ASM2 3
AURA/ANN HERD	ASM2 3
ICEMAN/ROBERT BOBBY 	ASM2 3
DOLMAN	ASM2 3
KWAN, TERRY	ASM2 3
OVERRIDE/DR. GREGORY	ASM2 3
SPIDER-MAN/PETER PAR	ASM2 3
SHAMAN/MICHAEL TWOYO	AF 76
BOX IV/MADISON JEFFR	AF 76
TALISMAN II/ELIZABET	AF 76
MASTER/ESHU	AF 76
PUCK/EUGENE MILTON J	AF 76
DIAMOND LIL/LILLIAN 	AF 76
HUDSON, HEATHER	AF 76
WITCHFIRE	AF 76
SASQUATCH/WALTER LAN	AF 76
WILD CHILD/KYLE GIBN	AF 76
AURIC/	AF 76
NEMESIS	AF 84
SILVER	AF 84
AURIC/	AF 84
AURORA/JEANNE-MARIE 	AF 84
TALISMAN II/ELIZABET	AF 84
WILD CHILD/KYLE GIBN	AF 84
BOX IV/MADISON JEFFR	AF 84
NORTHSTAR/JEAN-PAUL 	AF 84
SHAMAN/MICHAEL TWOYO	AF 84
HUDSON, HEATHER	AF 84
DIAMOND LIL/LILLIAN 	AF 84
SASQUATCH/WALTER LAN	AF 84
LLAN	AF 84
WITCHFIRE	AF 84
PERSUASION/KARA KILL	AF 85
SILVER	AF 85
SHAMAN/MICHAEL TWOYO	AF 85
NORTHSTAR/JEAN-PAUL 	AF 85
DIAMOND LIL/LILLIAN 	AF 85
NEMESIS	AF 85
PATHWAY/LAURA DEAN	AF 85
HUDSON, HEATHER	AF 85
WITCHFIRE	AF 85
AURIC/	AF 85
TALISMAN II/ELIZABET	AF 85
LLAN	AF 85
AURORA/JEANNE-MARIE 	AF 85
WILD CHILD/KYLE GIBN	AF 85
GOBLYN	AF 85
SASQUATCH/WALTER LAN	AF 85
BOX IV/MADISON JEFFR	AF 85
DR. STRANGE/STEPHEN 	AF 86
TALISMAN II/ELIZABET	AF 86
WITCHFIRE	AF 86
SILVER	AF 86
DIAMOND LIL/LILLIAN 	AF 86
HUDSON, HEATHER	AF 86
NEMESIS	AF 86
WONG	AF 86
AURIC/	AF 86
SASQUATCH/WALTER LAN	AF 86
SHAMAN/MICHAEL TWOYO	AF 86
PATHWAY/LAURA DEAN	AF 86
LLAN	AF 86
GOBLYN	AF 86
AURORA/JEANNE-MARIE 	AF 86
PERSUASION/KARA KILL	AF 86
BOX IV/MADISON JEFFR	AF 86
WILD CHILD/KYLE GIBN	AF 86
NORTHSTAR/JEAN-PAUL 	AF 86
WILD CHILD/KYLE GIBN	AF 87
SILVER	AF 87
AURORA/JEANNE-MARIE 	AF 87
BOX IV/MADISON JEFFR	AF 87
HUDSON, HEATHER	AF 87
SASQUATCH/WALTER LAN	AF 87
WITCHFIRE	AF 87
GOBLYN	AF 87
NEMESIS	AF 87
WOLVERINE/LOGAN 	AF 87
PUCK/EUGENE MILTON J	AF 87
SHAMAN/MICHAEL TWOYO	AF 87
PATHWAY/LAURA DEAN	AF 87
WINDSHEAR/COLIN ASHW	AF 87
DIAMOND LIL/LILLIAN 	AF 87
PERSUASION/KARA KILL	AF 87
AURIC/	AF 87
TALISMAN II/ELIZABET	AF 87
NORTHSTAR/JEAN-PAUL 	AF 87
HIGGINS, SAMUEL	AF 87
PUCK/EUGENE MILTON J	AF 88
SILVER	AF 88
SHAMAN/MICHAEL TWOYO	AF 88
FORGE	AF 88
DAYTRIPPER/AMANDA SE	AF 88
SASQUATCH/WALTER LAN	AF 88
WINDSHEAR/COLIN ASHW	AF 88
GUARDIAN/JAMES MACDO	AF 88
COOPER, DR. VALERIE	AF 88
DIAMOND LIL/LILLIAN 	AF 88
HUDSON, HEATHER	AF 88
BOX IV/MADISON JEFFR	AF 88
PERSUASION/KARA KILL	AF 88
MACTAGGERT, MOIRA KI	AF 88
AURORA/JEANNE-MARIE 	AF 88
WILD CHILD/KYLE GIBN	AF 88
TALISMAN II/ELIZABET	AF 88
AURIC/	AF 88
BANSHEE/SEAN CASSIDY	AF 88
NEMESIS	AF 88
WOLVERINE/LOGAN 	AF 88
WITCHFIRE	AF 88
FRIEDLANDER, SHARON	AF 88
CORSI, TOM	AF 88
WITCHFIRE	AF 89
DIAMOND LIL/LILLIAN 	AF 89
MASTER/ESHU	AF 89
AURORA/JEANNE-MARIE 	AF 89
NORTHSTAR/JEAN-PAUL 	AF 89
PERSUASION/KARA KILL	AF 89
AURIC/	AF 89
NEMESIS	AF 89
BOX IV/MADISON JEFFR	AF 89
HUDSON, HEATHER	AF 89
WOLVERINE/LOGAN 	AF 89
SHAMAN/MICHAEL TWOYO	AF 89
WILD CHILD/KYLE GIBN	AF 89
HIGGINS, SAMUEL	AF 89
FORGE	AF 89
PATHWAY/LAURA DEAN	AF 89
SASQUATCH/WALTER LAN	AF 89
PUCK/EUGENE MILTON J	AF 89
WINDSHEAR/COLIN ASHW	AF 89
TALISMAN II/ELIZABET	AF 89
GUARDIAN/JAMES MACDO	AF 89
SILVER	AF 89
BOX IV/MADISON JEFFR	AF 90
GUARDIAN/JAMES MACDO	AF 90
WITCHFIRE	AF 90
FORGE	AF 90
DIAMOND LIL/LILLIAN 	AF 90
SHAMAN/MICHAEL TWOYO	AF 90
AURORA/JEANNE-MARIE 	AF 90
FRIEDLANDER, SHARON	AF 90
MASTER/ESHU	AF 90
WOLVERINE/LOGAN 	AF 90
NORTHSTAR/JEAN-PAUL 	AF 90
HIGGINS, SAMUEL	AF 90
